id	wikidata_id	entity_types	source	targets	source_locale	target_locale
Q100268160_0	Q100268160	['TV series']	Who played the lead role in The Mole – Undercover in North Korea?	[{'translation': 'Wer spielte die Hauptrolle in Der Maulwurf: Undercover in Nordkorea?', 'mention': 'Der Maulwurf: Undercover in Nordkorea'}]	en	de
Q100268160_1	Q100268160	['TV series']	When was The Mole – Undercover in North Korea released?	[{'translation': 'Wann wurde Der Maulwurf: Undercover in Nordkorea veröffentlicht?', 'mention': 'Der Maulwurf: Undercover in Nordkorea'}]	en	de
Q100268160_2	Q100268160	['TV series']	What is the subject of the TV series The Mole – Undercover in North Korea?	[{'translation': 'Was ist das Thema der TV-Serie Der Maulwurf: Undercover in Nordkorea?', 'mention': 'Der Maulwurf: Undercover in Nordkorea'}]	en	de
Q1012958_0	Q1012958	['Landmark']	How can visitors reach Liebenzell Castle?	[{'translation': 'Wie erreichen Besucher das Burg Liebenzell?', 'mention': 'Burg Liebenzell'}, {'translation': 'Wie erreichen Besucher die Burg Liebenzell?', 'mention': 'Burg Liebenzell'}, {'translation': 'Wie können Besucher die Burg Liebenzell erreichen?', 'mention': 'Burg Liebenzell'}]	en	de
Q1012958_1	Q1012958	['Landmark']	Where is Liebenzell Castle located?	[{'translation': 'Wo befindet sich das Burg Liebenzell?', 'mention': 'Burg Liebenzell'}, {'translation': 'Wo befindet sich die Burg Liebenzell?', 'mention': 'Burg Liebenzell'}]	en	de
Q1012958_2	Q1012958	['Landmark']	When was Liebenzell Castle built?	[{'translation': 'Wann wurde Burg Liebenzell gebaut?', 'mention': 'Burg Liebenzell'}, {'translation': 'Wann wurde die Burg Liebenzell erbaut?', 'mention': 'Burg Liebenzell'}]	en	de
Q1056568_0	Q1056568	['Movie']	Who starred in the 1985 film Warning Sign?	[{'translation': 'Wer spielte in dem Film Warnzeichen - Gen-Killer mit?', 'mention': 'Warnzeichen - Gen-Killer'}, {'translation': 'Wer spielte 1985 in dem Film Warnzeichen - Gen-Killer mit?', 'mention': 'Warnzeichen - Gen-Killer'}, {'translation': 'Wer spielte 1985 in dem Film Warnzeichen - Gen-Killer?', 'mention': 'Warnzeichen - Gen-Killer'}]	en	de
Q1056568_1	Q1056568	['Movie']	What is the subject of the movie Warning Sign?	[{'translation': 'Worum geht es im Film Warnzeichen - Gen-Killer?', 'mention': 'Warnzeichen - Gen-Killer'}, {'translation': 'Was ist das Thema des Films Warnzeichen - Gen-Killer?', 'mention': 'Warnzeichen - Gen-Killer'}]	en	de
Q1056568_2	Q1056568	['Movie']	When was the movie Warning Sign released?	[{'translation': 'Wann wurde der Film Warnzeichen - Gen-Killer veröffentlicht?', 'mention': 'Warnzeichen - Gen-Killer'}]	en	de
Q1062531_0	Q1062531	['Food']	What are some ways to season a boiled egg?	[{'translation': 'Wie kann man ein gekochtes Ei würzen?', 'mention': 'gekochtes Ei'}]	en	de
Q1062531_1	Q1062531	['Food']	How do you peel a boiled egg?	[{'translation': 'Wie schält man ein gekochtes Ei?', 'mention': 'gekochtes Ei'}]	en	de
Q1062531_2	Q1062531	['Food']	Can you eat a boiled egg cold?	[{'translation': 'Kann man ein gekochtes Ei kalt essen?', 'mention': 'gekochtes Ei'}]	en	de
Q1072093_0	Q1072093	['Food']	What are some of the main ingredients in United States military chocolate?	[{'translation': 'Was sind einige der Hauptzutaten in Militärschokolade?', 'mention': 'Militärschokolade'}, {'translation': 'Was sind einige der Hauptzutaten in der US-amerikanischen Militärschokolade?', 'mention': 'US-amerikanischen Militärschokolade'}]	en	de
Q1072093_1	Q1072093	['Food']	How is United States military chocolate different from regular chocolate?	[{'translation': 'Wie unterscheidet sich US-amerikanische Militärschokolade von normaler Schokolade?', 'mention': 'US-amerikanische Militärschokolade'}, {'translation': 'Wie unterscheidet sich die US-amerikanische Militärschokolade von normaler Schokolade?', 'mention': 'US-amerikanische Militärschokolade'}]	en	de
Q1072093_2	Q1072093	['Food']	How long has United States military chocolate been included in rations?	[{'translation': 'Wie lange war US-amerikanische Militärschokolade in Rationen enthalten?', 'mention': 'US-amerikanische Militärschokolade'}, {'translation': 'Seit wann ist die US-amerikanische Militärschokolade in den Rationen enthalten?', 'mention': 'US-amerikanische Militärschokolade'}]	en	de
Q10860912_0	Q10860912	['Person', 'Fictional entity']	What is the name of the talking dog that is part of the Griffin family?	[{'translation': 'Wie heißt der sprechende Hund, der zur Familie Griffin gehören?', 'mention': 'Familie Griffin'}, {'translation': 'Wie heißt der sprechende Hund, der zur Familie Griffin gehört?', 'mention': 'Familie Griffin'}]	en	de
Q10860912_1	Q10860912	['Person', 'Fictional entity']	What is the animated series that features the fictional Griffin family?	[{'translation': 'Was ist die Zeichentrickserie mit der fiktiven Familie Griffin?', 'mention': 'Familie Griffin'}]	en	de
Q10860912_2	Q10860912	['Person', 'Fictional entity']	Which animated series is known for its satirical portrayal of the Griffin family's life?	[{'translation': 'Welche Zeichentrickserie ist bekannt für ihre satirische Darstellung des Lebens der Familie Griffin?', 'mention': 'Familie Griffin'}, {'translation': 'Welche Zeichentrickserie ist für ihre satirische Darstellung des Lebens der Familie Griffin bekannt?', 'mention': 'Familie Griffin'}]	en	de
Q1087216_0	Q1087216	['Musical work']	What is the musical genre of Christ on the Mount of Olives?	[{'translation': 'Was ist das musikalische Genre von Christus am Ölberge?', 'mention': 'Christus am Ölberge'}]	en	de
Q1087216_1	Q1087216	['Musical work']	Who composed the oratorio Christ on the Mount of Olives?	[{'translation': 'Wer komponierte das Oratorium Christus am Ölberge?', 'mention': 'Christus am Ölberge'}]	en	de
Q1087216_2	Q1087216	['Musical work']	Who wrote the libretto for Beethoven's Christ on the Mount of Olives?	[{'translation': 'Wer hat das Libretto für Beethovens Christus am Ölberge geschrieben?', 'mention': 'Christus am Ölberge'}, {'translation': 'Wer hat das Libretto für Beethovens Christus am Ölbergegeschrieben?', 'mention': 'Christus am Ölberge'}]	en	de
