wikidata_id	entity_types	source	source_locale	target_locale	Named_Entity	Label	Also known as
Q100268160	['TV series']	Who played the lead role in The Mole – Undercover in North Korea?	en	de	The Mole – Undercover in North Korea	Der Maulwurf: Undercover in Nordkorea	The Mole – Undercover in North Korea
Q100268160	['TV series']	When was The Mole – Undercover in North Korea released?	en	de	The Mole – Undercover in North Korea	Der Maulwurf: Undercover in Nordkorea	The Mole – Undercover in North Korea
Q100268160	['TV series']	What is the subject of the TV series The Mole – Undercover in North Korea?	en	de	The Mole – Undercover in North Korea	Der Maulwurf: Undercover in Nordkorea	The Mole – Undercover in North Korea
Q1012958	['Landmark']	How can visitors reach Liebenzell Castle?	en	de	Liebenzell Castle	Burg Liebenzell	
Q1012958	['Landmark']	Where is Liebenzell Castle located?	en	de	Liebenzell Castle	Burg Liebenzell	
Q1012958	['Landmark']	When was Liebenzell Castle built?	en	de	Liebenzell Castle	Burg Liebenzell	
Q1056568	['Movie']	Who starred in the 1985 film Warning Sign?	en	de	Warning Sign	Warnzeichen - Gen-Killer	
Q1056568	['Movie']	What is the subject of the movie Warning Sign?	en	de	Warning Sign	Warnzeichen - Gen-Killer	
Q1056568	['Movie']	When was the movie Warning Sign released?	en	de	Warning Sign	Warnzeichen - Gen-Killer	
Q1062531	['Food']	What are some ways to season a boiled egg?	en	de	boiled egg	gekochtes Ei	Gekochte Eier; Hartgekochtes Ei; Weichgekochtes Ei; Frühstücksei
Q1062531	['Food']	How do you peel a boiled egg?	en	de	boiled egg	gekochtes Ei	Gekochte Eier; Hartgekochtes Ei; Weichgekochtes Ei; Frühstücksei
Q1062531	['Food']	Can you eat a boiled egg cold?	en	de	boiled egg	gekochtes Ei	Gekochte Eier; Hartgekochtes Ei; Weichgekochtes Ei; Frühstücksei
Q1072093	['Food']	What are some of the main ingredients in United States military chocolate?	en	de	military chocolate	US-amerikanische Militärschokolade	
Q1072093	['Food']	How is United States military chocolate different from regular chocolate?	en	de	military chocolate	US-amerikanische Militärschokolade	
Q1072093	['Food']	How long has United States military chocolate been included in rations?	en	de	military chocolate	US-amerikanische Militärschokolade	
Q10860912	['Person', 'Fictional entity']	What is the name of the talking dog that is part of the Griffin family?	en	de	Griffin family	Familie Griffin	
Q10860912	['Person', 'Fictional entity']	What is the animated series that features the fictional Griffin family?	en	de	Griffin family	Familie Griffin	
Q10860912	['Person', 'Fictional entity']	Which animated series is known for its satirical portrayal of the Griffin family's life?	en	de	Griffin family	Familie Griffin	
Q1087216	['Musical work']	What is the musical genre of Christ on the Mount of Olives?	en	de	Christ on the Mount of Olives	Christus am Ölberge	
Q1087216	['Musical work']	Who composed the oratorio Christ on the Mount of Olives?	en	de	Christ on the Mount of Olives	Christus am Ölberge	
Q1087216	['Musical work']	Who wrote the libretto for Beethoven's Christ on the Mount of Olives?	en	de	Christ on the Mount of Olives	Christus am Ölberge	
Q109658712	['TV series']	What genre does Anxious People belong to?	en	de	Anxious People	Menschen in Angst	
Q109658712	['TV series']	When was Anxious People released?	en	de	Anxious People	Menschen in Angst	
Q109658712	['TV series']	Which country is Anxious People from?	en	de	Anxious People	Menschen in Angst	
Q1110797	['Movie']	Who played the main character in the movie Good Morning, Miss Dove?	en	de	Good Morning, Miss Dove	Guten Morgen, Miss Fink	
Q1110797	['Movie']	What is the genre of the movie Good Morning, Miss Dove?	en	de	Good Morning, Miss Dove	Guten Morgen, Miss Fink	
Q1110797	['Movie']	When was the movie Good Morning, Miss Dove released?	en	de	Good Morning, Miss Dove	Guten Morgen, Miss Fink	
Q111474934	['TV series']	How many seasons does The Lesson TV series have?	en	de	The Lesson	Zero Hour	
Q111474934	['TV series']	Who are the main characters in The Lesson TV series?	en	de	The Lesson	Zero Hour	
Q111474934	['TV series']	When was The Lesson TV series first aired?	en	de	The Lesson	Zero Hour	
Q11173928	['Food']	How does the taste of a duck egg compare to a chicken egg?	en	de	duck egg	Entenei	Enteneier
Q11173928	['Food']	Can you eat duck eggs and how are they typically used in cooking?	en	de	duck egg	Entenei	Enteneier
Q11173928	['Food']	Are duck eggs nutritionally different from chicken eggs?	en	de	duck egg	Entenei	Enteneier
Q111961959	['TV series']	Where can I watch episodes of Love Like The Galaxy?	en	de	Love Like The Galaxy	Xing han can lan	
Q111961959	['TV series']	Who are the main characters in the TV series Love Like The Galaxy?	en	de	Love Like The Galaxy	Xing han can lan	
Q111961959	['TV series']	When did the TV series Love Like The Galaxy premiere?	en	de	Love Like The Galaxy	Xing han can lan	
Q1144080	['Movie']	Which filmmaker is known for directing Till Marriage Do Us Part?	en	de	Till Marriage Do Us Part	Wie tief bin ich gesunken	
Q1144080	['Movie']	Who directed the 1974 film Till Marriage Do Us Part?	en	de	Till Marriage Do Us Part	Wie tief bin ich gesunken	
Q1144080	['Movie']	What is the subject of the movie Till Marriage Do Us Part?	en	de	Till Marriage Do Us Part	Wie tief bin ich gesunken	
Q1152142	['Fictional entity']	Is the DC Multiverse a concept used only in the comics or is it also explored in other media?	en	de	DC Multiverse	DC-Multiversum	DC Multiversum
Q1152142	['Fictional entity']	Which DC Multiverse Earth is home to the Justice League?	en	de	DC Multiverse	DC-Multiversum	DC Multiversum
Q1152142	['Fictional entity']	Can characters from different Earths in the DC Multiverse interact with each other?	en	de	DC Multiverse	DC-Multiversum	DC Multiversum
Q1156634	['Food']	What is the purpose of the cone in an ice cream cone?	en	de	ice cream cone	Eistüte	Eiswaffel; Waffeltüte
Q1156634	['Food']	How is an ice cream cone made?	en	de	ice cream cone	Eistüte	Eiswaffel; Waffeltüte
Q1156634	['Food']	Where can you find ice cream cones for sale?	en	de	ice cream cone	Eistüte	Eiswaffel; Waffeltüte
Q116945637	['Movie']	When was the movie All Your Faces released?	en	de	All Your Faces	Je verrai toujours vos visages	All eure Gesichter
