Sentence Number,Token Number,Text
0,0,What
0,1,genre
0,2,does
0,3,The
0,4,Invisible
0,5,Man
0,6,belong
0,7,to
1,0,When
1,1,was
1,2,the
1,3,TV
1,4,series
1,5,Mulheres
1,6,Apaixonadas
1,7,first
1,8,aired
2,0,How
2,1,many
2,2,seasons
2,3,of
2,4,The
2,5,Ambassador's
2,6,Daughter
2,7,are
2,8,there
3,0,What
3,1,is
3,2,the
3,3,main
3,4,focus
3,5,of
3,6,the
3,7,TV
3,8,series
3,9,Don't
3,10,F**k
3,11,with
3,12,Cats:
3,13,Hunting
3,14,an
3,15,Internet
3,16,Killer
4,0,How
4,1,many
4,2,movements
4,3,are
4,4,there
4,5,in
4,6,Symphony
4,7,No
4,8,9
5,0,Can
5,1,you
5,2,give
5,3,a
5,4,brief
5,5,description
5,6,of
5,7,Descartes'
5,8,Discourse
5,9,on
5,10,the
5,11,Method
6,0,What
6,1,is
6,2,the
6,3,genre
6,4,of
6,5,The
6,6,Three
6,7,Musketeers
7,0,When
7,1,was
7,2,St
7,3,Basil's
7,4,Cathedral
7,5,built
8,0,In
8,1,which
8,2,country
8,3,did
8,4,the
8,5,events
8,6,of
8,7,Planet
8,8,of
8,9,the
8,10,Apes
8,11,take
8,12,place
9,0,Were
9,1,there
9,2,any
9,3,rumors
9,4,or
9,5,controversies
9,6,surrounding
9,7,The
9,8,Turk's
9,9,ability
9,10,to
9,11,play
9,12,chess
10,0,How
10,1,would
10,2,you
10,3,describe
10,4,the
10,5,Berlin
10,6,Cathedral
11,0,How
11,1,is
11,2,the
11,3,President
11,4,of
11,5,Russia
11,6,elected
12,0,What
12,1,were
12,2,the
12,3,responsibilities
12,4,of
12,5,Anatoly
12,6,Dyatlov
12,7,as
12,8,the
12,9,deputy
12,10,chief-engineer
12,11,at
12,12,the
12,13,Chernobyl
12,14,Nuclear
12,15,Power
12,16,Plant
13,0,What
13,1,religious
13,2,texts
13,3,mention
13,4,the
13,5,Cavern
13,6,of
13,7,the
13,8,Patriarchs
14,0,What
14,1,is
14,2,the
14,3,symbol
14,4,of
14,5,the
14,6,Galactic
14,7,Empire
14,8,in
14,9,the
14,10,Star
14,11,Wars
14,12,universe
15,0,How
15,1,many
15,2,people
15,3,can
15,4,the
15,5,Prophet's
15,6,Mosque
15,7,accommodate
16,0,What
16,1,is
16,2,the
16,3,genre
16,4,of
16,5,A
16,6,City
16,7,of
16,8,Sadness
17,0,Who
17,1,was
17,2,Alexei
17,3,Nikolaevich
17,4,Tsarevich
17,5,of
17,6,Russia
18,0,Which
18,1,famous
18,2,catchphrase
18,3,is
18,4,associated
18,5,with
18,6,the
18,7,Simpson
18,8,family
19,0,Are
19,1,there
19,2,any
19,3,health
19,4,benefits
19,5,associated
19,6,with
19,7,consuming
19,8,rose
19,9,hips
20,0,Who
20,1,choreographed
20,2,the
20,3,original
20,4,1910
20,5,ballet
20,6,of
20,7,The
20,8,Firebird
21,0,How
21,1,many
21,2,people
21,3,can
21,4,the
21,5,Prophet's
21,6,Mosque
21,7,accommodate
22,0,In
22,1,which
22,2,country
22,3,did
22,4,the
